"Suburb","Population"
"Cawongla",221
"Cecil Hills",6865
"Cecil Park",1477
"Cedar Party",327
"Centennial Park (NSW)",2106
"Central Mangrove",286
"Central Tilba",391
"Cessnock",13673
"Chain Valley Bay",2452
"Charbon",231
"Charles Sturt University",563
"Charlestown (NSW)",12411
"Charmhaven",2325
"Chatswood",21194
"Chatswood West",1426
"Chatsworth (NSW)",215
"Cheltenham (NSW)",2067
"Cherrybrook",18778
"Chester Hill",11752
"Chifley (NSW)",3147
"Chilcotts Grass",182
"Chillingham",286
"Chinderah",1480
"Chippendale",4057
"Chipping Norton",8837
"Chisholm (NSW)",184
"Chiswick",2470
"Chittaway Bay",1901
"Chittaway Point",896
"Church Point",1121
"Clandulla",211
"Claremont Meadows",4151
"Clarence",224
"Clarence Town",1667
"Clarendon (NSW)",119
"Clarenza",563
"Claymore",3308
"Clemton Park",1565
"Cliftleigh",180
"Clifton Grove",821
"Clontarf (NSW)",1693
"Clothiers Creek",363
"Clovelly",4581
"Clunes (NSW)",947
"Clybucca",466
"Clyde (NSW)",0
"Coal Point",1730
"Coalcliff",196
"Cobaki",225
"Cobar",3817
"Cobargo",638
"Cobbitty",1060
"Coffee Camp",233
"Coffs Harbour",24581
"Coleambally",1311
"Colebee",0
"Coledale",1168
"Collarenebri",767
"Collaroy (NSW)",14388
"Collector",403
"Collendina",231
"Collie (NSW)",158
"Collingullie",134
"Collombatti",601
"Colo Heights",332
"Colo Vale",1719
"Colongra",6
"Colyton",7993
"Comberton",77
"Comboyne",453
"Come By Chance",115
"Como (NSW)",3789
"Comobella",57
"Conargo",244
"Concord",14150
"Concord West",5850
"Condell Park",10417
"Condobolin",3743
"Condong",298
"Congarinni",522
"Congarinni North",348
"Congewai",254
"Congo",225
"Coniston",2180
"Conjola Park",339
"Connells Point",2703
"Constitution Hill",4256
"Coogee (NSW)",14012
"Cookamidgera",214
"Cookardinia",240
"Cooks Gap",490
"Cooks Hill",3621
"Cooks Myalls",385
"Coolac",365
"Coolagolite",260
"Coolah",1278
"Coolamon",2129
"Coolangatta (NSW)",291
"Coolongolook",417
"Cooma (NSW)",6664
"Coomba Bay",256
"Coomba Park",446
"Coomealla",867
"Coonabarabran",3174
"Coonamble",2998
"Cooperabung",375
"Coopernook",519
"Coopers Gully",272
"Coopers Shoot",321
"Coorabell",421
"Cooranbong",5030
"Cootamundra",6695
"Cooyal",436
"Copacabana",2690
"Copmanhurst",487
"Coraki",1478
"Coralville",95
"Coramba",768
"Corbie Hill",296
"Cordeaux Heights",4720
"Coreen",396
"Corindi Beach",1453
"Corlette",4639
"Corndale (NSW)",350
"Corowa",5605
"Corrimal",6325
"Cottage Point",113
"Courabyra",244
"Couridjah",276
"Coutts Crossing",1040
"Cowan",544
"Cowra",9730
"Coxs Creek",160
"Crabbes Creek",294
"Cranebrook",14721
"Crangan Bay",0
"Craven",267
"Cremorne (NSW)",11048
"Cremorne Point",1978
"Crescent Head",1586
"Crestwood",4450
"Cringila",2114
"Cromer (NSW)",7161
"Cronulla",17042
"Crookwell",2507
"Crosslands",425
"Croudace Bay",544
"Crowdy Bay National Park",0
"Crowdy Head",221
"Crows Nest (NSW)",4048
"Croydon (NSW)",10381
"Croydon Park (NSW)",10742
"Crystal Creek (NSW)",395
"Cudal",653
"Cudgen",850
"Cudgera Creek",386
"Cudmirrah",259
"Culburra Beach",2677
"Culcairn",1423
"Cullen Bullen",183
"Cumbalum",1221
"Cumberland Reach",197
