"Suburb","Population"
"Woolooware",4210
"Wooloweyah",410
"Woolwich",815
"Woomargama",214
"Woombah",745
"Woongarrah",4507
"Woonona",11442
"Wootton",218
"Wooyung",25
"Woronora",2220
"Woronora Heights",2980
"Worrigee",4553
"Worrowing Heights",341
"Woy Woy",10114
"Woy Woy Bay",432
"Wyalong",851
"Wyangala",227
"Wybung",6
"Wyee",2588
"Wyee Point",678
"Wyndham (NSW)",610
"Wyoming",9904
"Wyong",3632
"Wyong Creek",387
"Wyongah",1951
"Wyrallah",446
"Yagoona",16003
"Yamba (NSW)",6074
"Yanco",948
"Yanderra",683
"Yarrabar",285
"Yarrahapinni",349
"Yarramalong",468
"Yarramundi",866
"Yarranbella",322
"Yarratt Forest",0
"Yarravel",1049
"Yarrawarrah",2983
"Yarrawonga (NSW)",550
"Yarrawonga Park",377
"Yarrie Lake",262
"Yarrowitch",167
"Yarrowyck",219
"Yass",6328
"Yass River",578
"Yattalunga (NSW)",527
"Yatte Yattah",216
"Yellow Rock (Blue Mountains - NSW)",916
"Yellow Rock (Shellharbour - NSW)",415
"Yenda (NSW)",1503
"Yennora",1404
"Yeoval",426
"Yerong Creek",517
"Yerrinbool",1088
"Yetholme",253
"Yetman",348
"Yoogali",927
"Yorklea",446
"Young",10039
"Yowie Bay",3167
"Yuraygir",6
"Zetland",3812
"Unclassified (NSW)",0
"No Usual Address (NSW)",12918
"Migratory - Offshore - Shipping (NSW)",111
"Abbotsford (Vic.)",4907
"Aberfeldie",3621
"Acheron",270
"Aireys Inlet",713
"Airport West",6959
"Albanvale",5221
"Albert Park (Vic.)",5955
"Alberton (Vic.)",260
"Albion (Vic.)",4337
"Alexandra (Vic.)",2656
"Alfredton",7195
"Allansford",1413
"Allendale",211
"Alma (Vic.)",260
"Alphington",4603
"Altona (Vic.)",9918
"Altona Meadows",18746
"Altona North",11379
"Amphitheatre",236
"Anakie",602
"Anglesea",2454
"Apollo Bay (Vic.)",1095
"Apsley (Vic.)",324
"Ararat",8076
"Arcadia (Vic.)",227
"Ardeer",2823
"Ardmona",540
"Armadale (Vic.)",8760
"Arthurs Creek",454
"Arthurs Seat",373
"Ascot (Ballarat - Vic.)",355
"Ascot (Greater Bendigo - Vic.)",1343
"Ascot Vale",13475
"Ashbourne (Vic.)",264
"Ashburton",7586
"Ashwood",6061
"Aspendale",6622
"Aspendale Gardens",6596
"Athlone",133
"Attwood",3261
"Avalon (Vic.)",305
"Avenel",1048
"Avoca (Vic.)",1264
"Avondale Heights",10990
"Avonsleigh",735
"Axe Creek",300
"Axedale",571
"Bacchus Marsh",5760
"Baddaginnie",465
"Badger Creek",1922
"Bagshot",297
"Bailieston",271
"Bairnsdale",7237
"Bakery Hill",173
"Balaclava (Vic.)",5383
"Ballan",2774
"Ballarat Central",5465
"Ballarat East",5309
"Ballarat North",3923
"Ballendella",257
"Balliang",243
"Balmattum",331
"Balmoral (Vic.)",328
"Balnarring",2527
"Balnarring Beach",353
"Balwyn",12944
"Balwyn North",20317
"Bamawm",527
"Bamawm Extension",426
"Bandiana",581
"Bangholme",797
"Bannockburn (Vic.)",3513
"Baranduda",1897
"Baringhup",340
"Barjarg",189
"Barkers Creek",411
"Barmah",181
"Barnawartha",945
"Barnawartha North",332
"Barongarook",463
"Barongarook West",285
"Barrabool",201
"Barwon Downs",362
"Barwon Heads",3536
"Bass",414
"Batesford",738
"Baw Baw (Vic.)",6
"Baw Baw Village",22
"Baxter",2146
"Bayles",469
"Baynton (Vic.)",202
"Bayswater (Vic.)",11240
"Bayswater North",8424
"Beaconsfield (Vic.)",6412
"Beaconsfield Upper",2843
"Bealiba",300
"Bearii",136
"Beaufort (Vic.)",1406
"Beaumaris (Vic.)",12829
"Beeac",223
"Beech Forest",479
"Beechworth",3559
"Belgrave",3966
"Belgrave Heights",1376
"Belgrave South",1662
"Bell Park",5286
"Bell Post Hill",5007
"Bellbrae",814
"Bellbridge",399
"Bellfield (Banyule - Vic.)",1728
"Bells Beach",163
"Belmont (Vic.)",13616
"Bemm River",287
"Bena",238
"Benalla",10331
"Benambra",249
"Bend Of Islands",279
"Bendigo",5774
"Bendoc",348
"Bentleigh",14920
"Bentleigh East",25925
"Beremboke",352
"Berringa",420
"Berriwillock",320
"Berwick",44779
"Bessiebelle",176
"Bet Bet",501
"Bete Bolong",231
"Bethanga",538
"Beulah (Vic.)",640
"Beverford",372
"Beveridge",872
"Big Desert",3
"Big Hill (Greater Bendigo - Vic.)",353
"Binginwarri",235
"Birchip",662
"Birdwoodton",593
"Birregurra",741
"Bittern",3378
"Black Hill (Vic.)",2131
"Black Rock (Vic.)",5944
"Blackburn",12796
"Blackburn North",7028
"Blackburn South",10584
"Blackwood (Vic.)",297
"Blairgowrie",2161
"Blampied",174
"Blind Bight",1238
"Boisdale",480
"Bolwarra (Vic.)",827
"Bonbeach",5733
"Bonegilla",294
"Boneo",388
"Bonnie Doon (Vic.)",521
"Bonshaw (Vic.)",188
"Bookaar",168
"Boolarra",1003
"Boolarra South",168
"Boole Poole",0
"Boorcan",343
"Boorhaman",208
"Boort",1173
"Boronia",20825
"Bostocks Creek",217
"Botanic Ridge",1728
"Boundary Bend",254
"Bowenvale",320
"Box Hill (Vic.)",9672
"Box Hill North",10971
"Box Hill South",7699
"Braeside",0
"Branxholme",386
"Braybrook",8180
"Breakwater",1058
"Breamlea",444
"Briagolong",1075
"Briar Hill",3092
"Bridgewater (Vic.)",217
"Bridgewater On Loddon",363
"Bright (Vic.)",2165
"Brighton (Vic.)",21257
"Brighton East",15814
"Brim",261
"Brimpaen",223
"Broadford",4175
"Broadmeadows (Vic.)",10578
"Broadwater (Vic.)",202
"Brookfield (Vic.)",6104
"Brooklyn (Vic.)",1640
"Broomfield",411
"Brown Hill (Vic.)",3078
"Brucknell",341
"Brunswick (Vic.)",22764
"Brunswick East",8476
"Brunswick West",13148
"Bruthen",805
"Buangor",248
"Buchan",385
"Budgeree",348
"Buffalo",496
"Buffalo River",487
"Bulart",191
"Bulla (Vic.)",651
"Bulleen",10868
"Bullengarook",603
"Bullioh",215
"Buln Buln",567
"Buln Buln East",182
"Bunbartha",442
"Bundalaguah",295
"Bundalong",604
"Bundoora (Vic.)",25709
"Bungaree (Vic.)",405
"Buninyong",3244
"Bunkers Hill",261
"Bunyip",2232
"Burnley",738
"Burnside (Vic.)",4385
"Burnside Heights",5000
"Burramine",344
"Burrumbeet",230
"Burwood (Vic.)",13162
"Burwood East",10141
"Bushfield",586
"Buxton (Vic.)",257
"Byaduk",319
"Byawatha",233
"Byrneside",290
"Cabarita (Vic.)",513
"Cairnlea",8839
"Calder Park",0
"Caldermeade",241
"California Gully",4263
"Calivil",354
"Callignee",367
"Calulu",336
"Camberwell (Vic.)",20029
"Cambrian Hill",388
"Campbellfield",5467
"Campbells Creek",1410
"Camperdown (Vic.)",3462
"Canadian",3203
"Cann River",169
"Cannons Creek",557
"Canterbury (Vic.)",7857
"Cape Bridgewater",255
"Cape Paterson",718
"Cape Schanck",362
"Cape Woolamai",1549
"Caramut",351
"Carapooee",395
"Carboor",185
"Cardigan",647
"Cardigan Village",506
"Cardinia",449
"Cardross",779
"Carisbrook",1143
"Carlsruhe",456
"Carlton (Vic.)",13509
"Carlton North",6220
"Carnegie",16299
"Carngham",411
"Caroline Springs",20366
"Carrajung",247
"Carrum",3602
"Carrum Downs",19122
"Castella",344
"Casterton",1764
"Castle Donnington",174
"Castlemaine",6751
"Catani",265
"Cathcart (Vic.)",251
"Caulfield",5160
"Caulfield East",1237
"Caulfield North",14554
"Caulfield South",11271
"Cavendish",374
"Ceres",236
"Chadstone",7821
"Charlton (Vic.)",1288
"Chelsea",7223
"Chelsea Heights",5186
"Cheltenham (Vic.)",20292
"Chepstowe",153
"Cheshunt",256
"Chewton",1317
"Childers (Vic.)",182
"Chiltern",1640
"Chirnside Park",9125
"Christmas Hills (Vic.)",344
"Chum Creek",932
"Churchill (Vic.)",4943
"Clarendon (Vic.)",213
"Clarinda",7461
"Clarkefield",433
"Clayton",15543
"Clayton South",11625
"Clematis",366
"Clifton Creek",207
"Clifton Hill",5790
"Clifton Springs",7153
"Clonbinane",381
"Cloverlea",372
"Clunes (Vic.)",1656
"Clyde (Vic.)",769
"Cobains",491
"Cobden",1821
"Cobram",6018
"Cobram East",225
"Cobrico",353
"Coburg",24977
"Coburg North",6576
"Cockatoo (Vic.)",4400
"Cocoroc",0
"Cohuna",2313
"Coimadai",404
"Colac",8696
"Colac East",304
"Colac West",134
"Colbinabbin",297
"Coldstream (Vic.)",2338
"Coleraine",1243
"Colignan",259
"Collingwood (Vic.)",6467
"Concongella",341
"Condah",418
"Congupna",628
"Connewarre",350
"Coolaroo",3261
"Coongulla",297
"Cooriemungle",467
"Cora Lynn",236
"Coragulac",223
"Corinella (Vic.)",630
"Corio",15072
"Coronet Bay",710
"Corop",269
"Cororooke",383
"Corryong",1440
"Cottles Bridge",626
"Cowes",4053
"Cowwarr",376
"Craigieburn",32757
"Cranbourne",18622
"Cranbourne East",8211
"Cranbourne North",14570
"Cranbourne South",1684
"Cranbourne West",8743
"Cremorne (Vic.)",1564
"Cressy (Vic.)",433
"Creswick",2942
"Crib Point",2839
"Crossley",351
"Croydon (Vic.)",23553
"Croydon Hills",5185
"Croydon North",7693
"Croydon South",4532
"Cudgee",351
"Cudgewa",413
"Culgoa",339
"Curlewis (Vic.)",223
"Daisy Hill (Vic.)",433
"Dales Creek",412
"Dallas",6480
"Dalyston",606
"Dandenong",24919
"Dandenong North",21910
"Dandenong South",358
"Dargo",148
"Darley",7418
"Darnum",668
"Darraweit Guim",423
"Dartmoor (Vic.)",263
"Daylesford",2565
"Dean",354
"Deans Marsh",373
"Dederang",307
"Deep Lead",321
"Deepdene (Vic.)",2379
"Deer Park",16204
"Delacombe",4932
"Delahey",8443
"Denison",416
"Dennington",1557
"Dereel",586
"Derrimut",5992
"Derrinallum",512
"Devenish",360
"Devon Meadows",1606
"Devon North",478
"Dewhurst",134
"Dhurringile",414
"Diamond Creek",11504
"Digby",222
"Diggers Rest",2275
"Diggora",206
"Dimboola",1662
"Dingee",324
"Dingley Village",10186
"Dinner Plain",143
"Dixons Creek",336
"Docklands",5791
"Don Valley",563
"Donald",1693
"Doncaster",18359
"Doncaster East",27047
"Donvale",11795
"Dookie",517
"Doreen",11276
"Douglas (Vic.)",178
"Doveton",8404
"Dreeite",276
"Dromana",5126
"Drouin",9686
"Drouin East",267
"Drouin South",392
"Drouin West",365
"Drumborg",312
"Drumcondra",614
"Drummond",423
"Drung",233
"Drysdale",4315
"Dumbalk",412
"Dunkeld (Vic.)",751
"Dunnstown",262
"Dunolly (Vic.)",908
"Durham Lead",400
"Eagle Point",739
"Eaglehawk",4810
"Eaglemont",3927
"East Bairnsdale",1300
"East Bendigo",2153
"East Geelong",3859
"East Melbourne",4714
"East Sale",119
"East Wangaratta",325
"East Warburton",887
"Eastwood (Vic.)",1932
"Ebden",466
"Echuca",13708
"Echuca Village",487
"Echuca West",387
"Ecklin South",265
"Eden Park",1197
"Edenhope",976
"Edithvale",5450
"Eganstown",299
"Eildon",733
"Elaine",325
"Eldorado",231
"Ellerslie (Vic.)",247
"Elliminyt",2645
"Ellinbank",400
"Elmhurst",419
"Elmore",668
"Elphinstone (Vic.)",670
"Elsternwick",9774
"Eltham (Vic.)",18162
"Eltham North",6841
"Elwood",14638
"Emerald (Vic.)",5813
"Emu Creek (Vic.)",316
"Endeavour Hills",24574
"Enfield (Vic.)",394
"Eppalock",613
"Epping (Vic.)",26346
"Epsom (Vic.)",2687
"Erica",324
"Eskdale (Vic.)",351
"Essendon",18852
"Essendon Fields",0
"Essendon North",2289
"Essendon West",1398
"Eumemmerring",1851
"Eureka (Vic.)",629
"Euroa",3166
"Eurobin",376
"Everton",341
"Eynesbury",774
"Fairfield (Vic.)",5946
"Fairhaven",354
"Falls Creek (Vic.)",225
"Faraday",147
"Fawkner",12596
"Fernbank",393
"Ferntree Gully",25585
"Ferny Creek",1535
"Fingal (Vic.)",368
"Fish Creek",791
"Fitzroy (Vic.)",9430
"Fitzroy North",11473
"Flemington",7528
"Flinders (Vic.)",860
"Flora Hill",3865
"Flowerdale (Vic.)",429
"Footscray",13203
"Forest Hill (Vic.)",10052
"Forge Creek",413
"Forrest (Vic.)",238
"Foster",1677
"Framlingham",38
"Frankston",35009
"Frankston North",5626
"Frankston South",17612
"Freeburgh",346
"French Island",116
"Freshwater Creek",455
"Fryerstown",320
"Fulham (Vic.)",1155
"Fyansford",189
"Gannawarra",223
"Gapsted",159
"Gardenvale",969
"Garfield (Vic.)",1466
"Garfield North",219
"Garibaldi",298
"Garvoc",282
"Geelong",4700
"Geelong West",6683
"Gellibrand",383
"Gembrook",2149
"Genoa",171
"Gentle Annie",0
"Gerang Gerung",251
"Gherang",335
"Gheringhap",249
"Girgarre",593
"Gisborne",7289
"Gisborne South",802
"Gladstone Park",8329
"Gladysdale",416
"Glen Alvie",432
"Glen Huntly",4658
"Glen Iris (Vic.)",24948
"Glen Waverley",39204
"Glenalbyn",140
"Glenburn",360
"Glenfyne",197
"Glengarry (Vic.)",1360
"Glengarry North",143
"Glenisla",209
"Glenlyon (Vic.)",638
"Glenmaggie",289
"Glenorchy (Vic.)",271
"Glenormiston South",247
"Glenrowan",963
"Glenroy (Vic.)",19664
"Glenthompson",264
"Gnarwarre",342
"Golden Beach (Vic.)",331
"Golden Gully",263
"Golden Point (Ballarat - Vic.)",2187
"Golden Square",8303
"Goldie",351
"Goon Nure",180
"Goorambat",347
"Goornong",609
"Gorae West",433
"Gordon (Vic.)",1219
"Gormandale",443
"Goroke",623
"Goughs Bay",382
"Gowanbrae",2746
"Grahamvale",677
"Granite Rock",222
"Grantville",738
"Grassdale (Vic.)",169
"Grassmere",447
"Great Western",570
"Greendale (Vic.)",536
"Greensborough",20552
"Greenvale (Vic.)",11969
"Greta South",248
"Greta West",251
"Grovedale",14153
"Gruyere",849
"Guildford (Vic.)",245
"Gunbower",522
"Gundowring",445
"Guys Hill",375
"Haddon",1370
"Hadfield",5366
"Hallam",10162
"Hallora",317
"Halls Gap",613
"Hallston",444
"Hamilton (Vic.)",10104
"Hamlyn Heights",6075
"Hampton (Vic.)",12482
"Hampton East",4395
"Hampton Park",23767
"Harcourt",872
"Harcourt North",300
"Harkaway",772
"Harmers Haven",82
"Harrietville",402
"Harrow",315
"Harston",333
"Hastings (Vic.)",8685
"Hattah",12
"Haven",1194
"Hawkesdale",432
"Hawthorn (Vic.)",21177
"Hawthorn East",13101
"Hazeldene",255
"Hazelwood",279
"Hazelwood North",1476
"Hazelwood South",319
"Healesville",6839
"Heath Hill",239
"Heathcote (Vic.)",2776
"Heathcote Junction",847
"Heatherton",2768
"Heathmere",241
"Heathmont",9250
"Heidelberg",5714
"Heidelberg Heights",6388
"Heidelberg West",5327
"Hepburn",459
"Hepburn Springs",241
"Herne Hill (Vic.)",3321
"Hernes Oak",424
"Hesket",323
"Hexham (Vic.)",123
"Heyfield",1937
"Heywood",1725
"Highett",10263
"Highlands",219
"Highton",16657
"Hill End (Vic.)",239
"Hilldene",451
"Hillside (Melton - Vic.)",16326
"Hmas Cerberus",1085
"Hoddles Creek",609
"Hopetoun (Vic.)",555
"Hopetoun Park",565
"Hoppers Crossing",37598
"Horsham",14285
"Hotham Heights",161
"Howqua Hills",5
"Howqua Inlet",515
"Hughesdale",7055
"Humevale",370
"Hunter",302
"Huntingdale (Vic.)",1784
"Huntly",1429
"Huon",450
"Huon Creek",195
"Hurstbridge",3511
"Illowa",353
"Indented Head",921
"Indigo Valley",303
"Inglewood (Vic.)",1058
"Invergordon (Vic.)",647
"Inverleigh",1182
"Inverloch",4960
"Invermay (Vic.)",801
"Invermay Park",1880
"Iona",363
"Ironbark (Vic.)",1080
"Irrewarra",530
"Irymple (Vic.)",5015
"Ivanhoe (Vic.)",11085
"Ivanhoe East",3762
"Jacana",1940
"Jack River",301
"Jackass Flat",301
"Jamieson (Vic.)",384
"Jan Juc",3521
"Jancourt East",288
"Jeeralang Junction",532
"Jeparit",632
"Jindivick",522
"Johanna",202
"Johnsonville",349
"Junction Village",1159
"Jung",246
"Junortoun",2378
"Kaarimba",99
"Kalimna",1261
"Kallista",1557
"Kalorama",1208
"Kangaroo Flat (Vic.)",9492
"Kangaroo Ground",1015
"Kaniva",1061
"Kanyapella",191
"Kardella",304
"Katamatite",433
"Katandra West",747
"Katunga",1137
"Kealba",3164
"Keely",108
"Keilor",5759
"Keilor Downs",10307
"Keilor East",13259
"Keilor Lodge",1757
"Keilor North",84
"Keilor Park",2540
"Kennington",5830
"Kensington (Vic.)",9719
"Kerang",3872
"Kergunyah",235
"Kew (Vic.)",23876
"Kew East",6017
"Keysborough",19885
"Kialla",5810
"Kialla East",256
"Kialla West",432
"Kiewa",311
"Kilcunda",321
"Kilmore",6678
"Kilmore East",353
"Kilsyth",10043
"Kilsyth South",3053
"King Valley",296
"Kinglake",1347
"Kinglake Central",281
"Kinglake West",1066
"Kings Park (Vic.)",8311
"Kingsbury",3362
"Kingston (Vic.)",318
"Kingsville",3509
"Kirkstall",346
"Kirwans Bridge",202
"Knowsley",173
"Knoxfield",7140
"Kolora",356
"Konongwootong",194
"Koo Wee Rup",3079
"Koondrook",1094
"Koonoomoo",255
"Koonwarra",385
"Koorlong",461
"Kooyong",803
"Korobeit",353
"Koroit",1958
"Korong Vale",248
"Korumburra",4373
"Korweinguboora",232
"Kotupna",132
"Koyuga",329
"Krowera",236
"Kurunjang",9228
"Kyabram",7321
"Kyneton",6629
"Kyvalley",328
"Laang",211
"Labertouche",534
"Laceby",330
"Laharum",210
"Lake Boga",719
"Lake Bolac",477
"Lake Bunga",451
"Lake Charm",311
"Lake Gardens",1666
"Lake Tyers Beach",865
"Lake Wellington",0
"Lake Wendouree",2884
"Lakes Entrance",4569
"Lal Lal",599
"Lalbert",224
"Lalor",19873
"Lancaster",351
"Lance Creek",168
"Lancefield",2357
"Landsborough (Vic.)",256
"Lang Lang",1345
"Langkoop",213
"Langwarrin",21371
"Langwarrin South",1126
"Lara",13846
"Larpent",193
"Larralea",373
"Launching Place",2492
"Lauriston",295
"Laverton (Vic.)",4065
"Laverton North",91
"Learmonth (Vic.)",301
"Leichardt",176
"Leitchville",619
"Lemnos",301
"Leneva",1040
"Leongatha",5332
"Leongatha North",436
"Leongatha South",545
"Leopold",10111
"Lethbridge",950
"Lexton",265
"Licola",29
"Lilydale (Vic.)",15649
"Lindenow",390
"Lindenow South",549
"Linton",591
"Lismore (Vic.)",559
"Little Desert",0
"Little River (Vic.)",1393
"Loch",967
"Loch Sport",689
"Lockington",778
"Lockwood",756
"Lockwood South",906
"Long Forest",343
"Long Gully",3338
"Longford (Vic.)",1333
"Longlea",494
"Longwarry",1436
"Longwood (Vic.)",416
"Lorne (Vic.)",1394
"Lovely Banks",2218
"Lower Plenty",3782
"Lucknow (Vic.)",1065
"Lurg",461
"Lyal",131
"Lynbrook",6772
"Lyndhurst (Vic.)",4896
"Lyonville",253
"Lysterfield",6551
"Lysterfield South",924
"Macarthur (Vic.)",618
"Macclesfield (Vic.)",863
"Macedon",1864
"Macleod (Vic.)",9606
"Maddingley",2394
"Maffra (Vic.)",5112
"Magpie",640
"Maiden Gully",4401
"Maidstone",7750
"Mailors Flat",471
"Main Ridge",469
"Majorca",482
"Maldon (Vic.)",1432
"Mallacoota",1032
"Malmsbury",612
"Malvern (Vic.)",9504
"Malvern East",20066
"Manangatang",479
"Mandurang",531
"Mandurang South",314
"Mangalore (Vic.)",210
"Manifold Heights",2607
"Mannerim",188
"Mannibadar",202
"Manns Beach",3
"Mansfield (Vic.)",4360
"Marcus Hill",180
"Marengo (Vic.)",218
"Maribyrnong",10165
"Markwood",265
"Marlo",678
"Marnoo",333
"Marong",899
"Marshall",1799
"Maryborough (Vic.)",7630
"Maryknoll",546
"Marysville",223
"Maude (Vic.)",303
"McCrae",2543
"McKenzie Creek",336
"McKenzie Hill",250
"McKinnon",5553
"McMahons Creek",220
"McMillans",203
"Mead",190
"Meadow Heights",14843
"Meeniyan",645
"Meerlieu",194
"Melbourne",28371
"Melbourne Airport",142
"Melton (Vic.)",7593
"Melton South",8916
"Melton West",14171
"Mentone",11667
"Menzies Creek",911
"Mepunga East",185
"Merbein",2671
"Merbein South",585
"Meredith",738
"Meringur",128
"Merino",364
"Mernda",6508
"Merricks North",412
"Merrigum",672
"Merrijig (Mansfield - Vic.)",705
"Merrimu",271
"Merton",302
"Metcalfe",330
"Metung",1222
"Mia Mia (Vic.)",265
"Mickleham",1185
"Middle Park (Vic.)",4058
"Miepoll",304
"Milawa",592
"Mildura",30647
"Mill Park",30517
"Millbrook (Vic.)",359
"Millgrove",1554
"Miners Rest",2542
"Minimay",253
"Minyip",667
"Mirboo",563
"Mirboo North",2296
"Mitcham (Vic.)",14811
"Mitchell Park (Vic.)",753
"Mitta Mitta",217
"Modewarre",569
"Moe",8751
"Moe South",566
"Monbulk",3456
"Monegeetta",321
"Mont Albert",4954
"Mont Albert North",5087
"Montmorency",8759
"Montrose (Vic.)",6732
"Moolap",1111
"Moonambel",410
"Moonee Ponds",13532
"Moorabbin",5283
"Moorabbin Airport",0
"Moorabool",186
"Moorooduc",1028
"Mooroolbark",20689
"Mooroopna",7813
"Mooroopna North",253
"Mordialloc",7537
"Moriac",644
"Mornington (Vic.)",22421
"Morrisons",168
"Mortlake (Vic.)",1354
"Morwell",14005
"Mossiface",308
"Mount Beauty",819
"Mount Buller",242
"Mount Camel",286
"Mount Clear",2905
"Mount Cottrell",688
"Mount Dandenong",1237
"Mount Duneed",623
"Mount Egerton",548
"Mount Eliza",17248
"Mount Evelyn",9374
"Mount Franklin",325
"Mount Helen",2718
"Mount Macedon",1321
"Mount Martha",17087
"Mount Moriac",252
"Mount Pleasant (Vic.)",2122
"Mount Rowan",317
"Mount Taylor",329
"Mount Waverley",32076
"Moutajup",317
"Moyhu",428
"Moyston",356
"Muckleford",391
"Mudgegonga",257
"Mulgrave (Vic.)",17647
"Munro",176
"Murchison (Vic.)",1047
"Murchison East",212
"Murgheboluc",319
"Murrabit",330
"Murray-Sunset",0
"Murrayville",548
"Murrindindi",271
"Murrumbeena",8592
"Murtoa",991
"Musk",320
"Myers Flat",400
"Myrniong",221
"Myrtleford",3181
"Mystic Park",183
"Nagambie",1548
"Nambrok",279
"Nandaly",230
"Nangiloc",380
"Nanneella",405
"Napoleons",535
"Nar Nar Goon",1013
"Nar Nar Goon North",708
"Narbethong (Vic.)",474
"Nareen",219
"Nariel Valley",258
"Naringal",294
"Narracan",280
"Narrawong",351
"Narre Warren",25882
"Narre Warren East",488
"Narre Warren North",6212
"Narre Warren South",28594
"Nathalia",1902
"Natimuk",659
"Navarre",241
"Navigators",257
"Neerim",415
"Neerim East",259
"Neerim South",1193
"Neilborough",265
"Nelson (Vic.)",311
"Nerrena",534
"Nerrina",849
"Netherby (Vic.)",266
"New Gisborne",2380
"Newborough",6933
"Newbridge (Vic.)",358
"Newcomb",4518
"Newham",523
"Newhaven",386
"Newington (Vic.)",1888
"Newlands Arm",501
"Newlyn North",283
"Newmerella",441
"Newport (Vic.)",11987
"Newry",429
"Newstead (Vic.)",802
"Newtown (Greater Geelong - Vic.)",9681
"Nhill",2278
"Nichols Point",1464
"Nicholson (Vic.)",955
"Niddrie",4876
"Nilma",226
"Nilma North",282
"Nirranda",190
"Noble Park",28377
"Noble Park North",7390
"Noojee",277
"Noorat",167
"Norlane",8012
"Norong",340
"North Bendigo",3953
"North Geelong",2396
"North Melbourne",11755
"North Shore (Vic.)",355
"North Wangaratta",355
"North Warrandyte",2954
"North Wonthaggi",2525
"Northcote",22920
"Notting Hill",2161
"Nowa Nowa",341
"Nullawarre",294
"Numurkah",4768
"Nunawading",10947
"Nungurner",471
"Nutfield",145
"Nyah",483
"Nyah West",683
"Nyora (Vic.)",1332
"Oak Park",5771
"Oaklands Junction",295
"Oakleigh",7535
"Oakleigh East",5972
"Oakleigh South",9140
"Ocean Grange",24
"Ocean Grove",12555
"Officer",1761
"Olinda (Vic.)",1664
"Omeo",487
"Orbost",2493
"Ormond",7711
"Orrvale",524
"Osbornes Flat",395
"Outtrim",388
"Ouyen",1082
"Oxley (Vic.)",594
"Pakenham",33999
"Pakenham South",235
"Pakenham Upper",1075
"Panmure",273
"Panton Hill",1158
"Paraparap",275
"Park Orchards",3718
"Parkdale",11185
"Parkville (Vic.)",6193
"Parwan",312
"Pascoe Vale",14885
"Pascoe Vale South",9533
"Patchewollock",431
"Patterson Lakes",7582
"Paynesville (Vic.)",3236
"Pearcedale",3871
"Peechelba",345
"Penshurst (Vic.)",734
"Pental Island",154
"Peterborough (Vic.)",142
"Pheasant Creek (Vic.)",251
"Piangil",333
"Picola",334
"Pimpinio",342
"Pine Grove (Vic.)",160
"Pine Lodge (Vic.)",241
"Pioneer Bay",330
"Pirron Yallock",187
"Plenty (Vic.)",2093
"Plumpton (Vic.)",418
"Point Cook",32413
"Point Leo",159
"Point Lonsdale",2466
"Pomborneit",190
"Pomonal",362
"Poowong",610
"Poowong North",286
"Porepunkah",953
"Port Albert",247
"Port Campbell",618
"Port Fairy",3094
"Port Melbourne",14521
"Port Welshpool",179
"Portarlington",3580
"Portland (Vic.)",9601
"Portland North",671
"Portland West",630
"Portsea",446
"Powelltown",200
"Prahran",11191
"Preston (Vic.)",29925
"Princes Hill",2075
"Princetown",350
"Puckapunyal",1155
"Purnim",454
"Pyalong",736
"Pyramid Hill",883
"Quambatook",361
"Quantong",308
"Quarry Hill",2338
"Queenscliff (Vic.)",1418
"Raglan (Vic.)",407
"Rainbow",734
"Ravenhall",911
"Ravenswood (Vic.)",374
"Rawson",325
"Raymond Island",540
"Raywood",328
"Red Cliffs",4625
"Red Hill (Vic.)",731
"Red Hill South",1172
"Redan",2976
"Redesdale",273
"Reedy Creek (Vic.)",241
"Reedy Flat",175
"Research",2637
"Reservoir (Vic.)",47637
"Rheola",316
"Rhyll",674
"Richmond (Vic.)",23814
"Riddells Creek",3753
"Ringwood (Vic.)",16009
"Ringwood East",9748
"Ringwood North",9657
"Ripplebrook",413
"Rippleside",439
"Ripponlea",1478
"Riverside (Vic.)",414
"Robertsons Beach",360
"Robinvale",2134
"Robinvale Irrigation District Section B",290
"Robinvale Irrigation District Section C",466
"Robinvale Irrigation District Section E",383
"Rochester (Vic.)",3136
"Rockbank",1349
"Rokeby (Vic.)",361
"Rokewood",433
"Romsey",4412
"Rosanna",7902
"Rosebrook (Vic.)",311
"Rosebud",12501
"Rosebud West",4579
"Rosedale (Vic.)",1600
"Rosewhite",168
"Ross Creek (Vic.)",960
"Rowsley",284
"Rowville",34145
"Roxburgh Park",19235
"Ruffy",337
"Rupanyup",549
"Rushworth",1381
"Russells Bridge",143
"Rutherglen",2479
"Rye",8160
"Safety Beach (Vic.)",3518
"Sailors Gully",761
"Sale",13186
"San Remo (Vic.)",1083
"Sandford (Vic.)",197
"Sandhurst",3063
"Sandon (Vic.)",186
"Sandringham (Vic.)",9309
"Sandy Point (Vic.)",197
"Sarsfield",568
"Sassafras (Vic.)",1145
"Scarsdale",772
"Scoresby",5892
"Scotts Creek (Vic.)",289
"Sea Lake",616
"Seabrook",4972
"Seaford (Vic.)",16033
"Seaholme",1865
"Seaspray",316
"Seaton (Vic.)",215
"Sebastian",197
"Sebastopol (Vic.)",9399
"Seddon (Vic.)",4851
"Sedgwick",487
"Selby",1660
"Serpentine (Vic.)",307
"Serviceton",270
"Seville",2370
"Seville East",833
"Seymour (Vic.)",6370
"Shady Creek",154
"She Oaks",234
"Shelbourne",395
"Shelford",316
"Shepparton",29553
"Shepparton East",1171
"Shepparton North",522
"Sherbrooke",268
"Shoreham",434
"Silvan",1220
